ddelay darea
-1.297 0.030
-1.298 0.032
-1.610 0.547
5.255 0.185
-1.287 0.198
5.255 -0.091
-1.507 0.581
-1.610 0.559
3.957 0.193
-0.313 0.562
3.957 0.078
-1.470 0.581
-1.610 0.535
3.957 0.112
-1.610 0.549
3.957 0.036
3.957 0.043
12.713 0.385
0.324 0.047
0.356 0.070
8.358 0.356
8.392 -0.315
4.853 -0.486
-5.330 -0.313
-2.160 -1.141
-1.757 -0.166
0.234 -0.347
-1.064 0.055
-0.642 0.223
8.394 0.078
-1.610 0.438
8.246 0.014
7.156 -0.128
-5.822 0.541
8.394 -0.170
4.472 -4.313
-18.970 -0.119
0.010 -0.003
0.935 -0.498
-1.379 -0.090
0.000 0.041
0.000 0.000
0.000 -0.012
0.000 0.000
7.163 0.343
0.024 0.000
0.000 0.000
0.000 -0.003
0.000 0.005
-0.162 -0.049
